1,SP1,"I can hear you breathing
"
2,SP2,"what about the cough
"
3,SP1,"stop
"
4,SP1,"If you like your mucus s getting to me too
"
5,SP2,"Oh yeah I hope
"
6,SP1,"It feels like this this window like looks like a mirror
"
7,SP2,"Yeah
"
8,SP1,"Except it's just like not me on the other side
"
9,SP2,"Can you hear my wrinklin'
"
10,SP1,"what
"
11,SP1,"laughs
"
12,SP2,"Wrinkling of the hair
"
13,SP1,"Actually no I couldn't
"
14,SP2,"Really 'cause it's kind of echoy in here I like it it's kinda homey like vibe over here
"
15,SP1,"Should we ask if they're renting for next year
"
16,SP2,"um how much is it per month we just set up a table
"
17,SP1,"oh this cute plant
"
18,SP2,"Yeah
"
19,SP1,"This bugs me out it's like exact reflections
"
20,SP1,"They they absolutely did that on purpose
"
21,SP2,"Oh yeah
"
22,SP1,"We're too tired for this we're just gonna laugh
"
23,SP2,"Good morning America welcome to I feel like I'm on a podcast right now
"
24,SP1,"me too
"
25,SP2,"honestly
"
26,SP1,"How's your water
"
27,SP2,"li
"
28,SP2,"I haven't drink a yet it's kind of hard with this microrphone in the way
"
29,SP1,"You can do it
"
30,SP1,"I can't okay they said this was bendy but I can't bend
"
31,SP1,"I feel like mine's in a much wronger position than yours
"
32,SP2,"mm wronger
"
33,SP1,"Can you hear me breathing though
"
34,SP2,"no
"
35,SP1,"alright then you just breathe loud
"
36,SP2,"I'm sorry I'm congested
"
37,SP1,"I'm also congested
"
38,SP2,"I realized that I forgot to get a sub for work tomorrow
"
39,SP1,"oh god why haven't you been fired
"
40,SP2,"I don't know they love me too much
"
41,SP1,"wow
"
42,SP2,"wow
"
43,SP1,"wow look at you
"
44,SP2,"maybe they can't afford to lose me I'm
"
45,SP2,"I feel like I need to ice my face is it still swollen
"
46,SP1,"Yeah but mine is too
"
47,SP2,"Hey
"
48,SP1,"stop
"
49,SP2,"oh my God goodness gracious
"
50,SP1,"oh god I really hope I don't just start coughing and then not be able to stop coughing
"
51,SP2,"contagious cough
"
52,SP1,"How do they clean these microphones
"
53,SP2,"oo that's a good question
"
54,SP2,"They probably have some spray and it's probably just like very concentrated
"
55,SP1,"I just feel bad cause if we're coughing all up on this
"
56,SP2,"antibacterial
"
57,SP1,"You you just coughed on it directly when I said that
"
58,SP2,"Oh yeah
"
59,SP1,"Oh my god
"
60,SP2,"hh ah I̲ can't do this
"
61,SP1,"Yes y̲ou absolutely can
"
62,SP2,"I mean
"
63,SP1,"Oh
"
64,SP1,"I thought you just meant like t̲alk for like thirty minutes and I was like yes you can
"
65,SP2,"that was like a close call
"
66,SP2,"we can do this
"
67,SP1,"That was a close call
"
68,SP1,"did your alarm go off
"
69,SP2,"mhm
"
70,SP1,"I think I heard your alarm go off
"
71,SP2,"I think so our alarm system is very
"
72,SP2,"weird
"
73,SP2,"my live's just a
"
74,SP1,"your alarm's a your alarm system is whack
"
75,SP2,"mhm
"
76,SP1,"It's like So funny
"
77,SP2,"it's just
"
78,SP2,"I'm just like so asleep that I won't wake up
"
79,SP1,"You're a very Very deep sleeper
"
80,SP2,"till one
"
81,SP2,"to One so I gotta put on at least three
"
82,SP1,"And they're not e like
"
83,SP1,"They're all like the worst possible alarm sounds
"
84,SP2,"and I still don't get up
"
85,SP1,"that's insane
"
86,SP1,"Oh my god
"
87,SP2,"What is
"
88,SP1,"At least it's not like Do you remember last year
"
89,SP2,"Happeninin
"
90,SP1,"When like you're like beeping one would go off
"
91,SP2,"And then I would go to the bathroom
"
92,SP1,"and then it would keep beep and I would have to get up but like I didn't know how to turn it off
"
93,SP2,"you just like threw the alarm clock at the door
"
94,SP1,"I was like kept pressing buttons and then eventually it would stop but then sometimes I also hit snooze so then I would get back in bed and then it'd go off again honestly I normally just unplugged it
"
95,SP2,"And then I wouldn't notice and that's why I probably wouldn't get up the next day we'll just leave it at that
"
96,SP2,"that's so full that hard even if you unplug it
"
97,SP2,"it's weird
"
98,SP1,"Really
"
99,SP2,"mhm
"
100,SP2,"For like a couple hours and then it goes away
"
101,SP1,"That's so weird
"
102,SP2,"mhm
"
103,SP1,"how do they do that
"
104,SP2,"mm
"
105,SP1,"it's very first
"
106,SP2,"plus my times wrong it's like two minutes
"
107,SP1,"Fixe it
"
108,SP2,"behind
"
109,SP2,"I'm too lazy
"
110,SP2,"mhm
"
111,SP2,"I know I always think that's it's like good for me to be behind but It's better to be ahead
"
112,SP1,"Yeah then it just makes you late to everything
"
113,SP2,"it really does
"
114,SP2,"I should put it two minutes ahead
"
115,SP2,"I heard that
"
116,SP1,"Or you can set it to the real time
"
117,SP1,"That's just a thought though
"
118,SP2,"What good would that do
"
119,SP1,"I don't know then you would know what time it is
"
120,SP1,"Can you see under this cause I wore those with the
"
121,SP2,"Under where
"
122,SP1,"oh my god I can't
"
123,SP2,"you can't
"
124,SP1,"wait we both had our feet up at the thing
"
125,SP2,"aw
"
126,SP2,"cause it's comfy
"
127,SP1,"I'm pretty comfy
"
128,SP2,"I feel like I'm on a mirror
"
129,SP1,"oh my god
"
130,SP2,"it's sayonara
"
131,SP1,"this feels like those like bonding exercises
"
132,SP2,"ee uu ee uu
"
133,SP1,"oh my god
"
134,SP2,"when are your parents coming
"
135,SP1,"mm like twelve thirty I think they said they were like oh like what time should we come and then
"
136,SP1,"I said like I'd be free after twelve and then they were like okay we're probably gonna le oh wait just kidding hold on
"
137,SP2,"I like turn sideways when like okay
"
138,SP1,"It's not gonna leave me
"
139,SP1,"I think they're coming earlier which I did not think about
"
140,SP2,"Can we still get coffee
"
141,SP1,"they might come at like
"
142,SP1,"They might come at like twelve
"
143,SP1,"what
"
144,SP2,"we're still getting coffee
"
145,SP1,"okay if you want
"
146,SP2,"Yeah
"
147,SP1,"You want
"
148,SP2,"probably
"
149,SP1,"Should I
"
150,SP2,"at twelve
"
151,SP1,"uh should I go to like the dining hall and eat or something
"
152,SP1,"Now
"
153,SP2,"I have like a Hodge egg sandwich in our fridge right now
"
154,SP1,"really
"
155,SP2,"yeah cuz Carino went to Hodge yesterday but I couldn't go cause I had a meeting
"
156,SP1,"mhm
"
157,SP2,"but
"
158,SP2,"Now it's in our fridge and I don't know how good it i will be
"
159,SP2,"like heating it up in the Microwave
"
160,SP1,"when
"
161,SP1,"When
"
162,SP2,"yesterday
"
163,SP1,"when did you yesterday
"
164,SP1,"If we could work our toaster it'd be good in the toaster
"
165,SP2,"oh Yeah it's pobably gonna burn right now
"
166,SP1,"Did you know that the microwave isn't like from the
"
167,SP1,"School
"
168,SP2,"really
"
169,SP1,"Emma brought it
"
170,SP2,"really
"
171,SP1,"yeah
"
172,SP2,"wow what would our lives be without that microwave
"
173,SP1,"sad
"
174,SP2,"Very and that toaster like is that from the school
"
175,SP2,"or did someone bring it
"
176,SP1,"I don't know I don't know but nobody knows how to use it so
"
177,SP2,"there's no directions either so
"
178,SP1,"Also like the microwave you know how like Reina accidentally like
"
179,SP2,"Exploded Something in there
"
180,SP1,"No no no that was like the worst hand motion for
"
181,SP1,"She like shattered
"
182,SP1,"The the like plate at the bottom of the microwave
"
183,SP2,"she did
"
184,SP1,"dude my eyes burn so bad um
"
185,SP1,"Yeah like accidentally but she like shattered it
"
186,SP2,"That's gross
"
187,SP1,"And
"
188,SP1,"and like didn't tell Emma
"
189,SP2,"Is that where it shoot or
"
190,SP1,"I feel like
"
191,SP2,"someone was like where's the glass plate
"
192,SP1,"Yeah I feel like Reina didn't know it was Emma's either
"
193,SP2,"mm mm
"
