1,SP1,"So could put a
"
2,SP2,"Hey
"
3,SP2,"This is so cool hello
"
4,SP1,"If okay read the questions did you bring your phone
"
5,SP2,"I did I feel like we can
"
6,SP1,"Okay um what we talk about
"
7,SP2,"I can remember them
"
8,SP2,"The questions
"
9,SP1,"Okay
"
10,SP1,"So we do that early to something else
"
11,SP2,"we can do that or not
"
12,SP1,"um cool
"
13,SP2,"Wait what were they there's one that was good I like the
"
14,SP1,"Uhm the your life story
"
15,SP2,"um
"
16,SP2,"that one
"
17,SP1,"mm
"
18,SP1,"Okay
"
19,SP1,"Uhm
"
20,SP2,"we could do the um
"
21,SP2,"Do you do you want to be famous and if so what for
"
22,SP1,"Yeah yeah yeah what the okay
"
23,SP2,"and why
"
24,SP1,"okay um during the first
"
25,SP2,"you can go
"
26,SP1,"alright
"
27,SP1,"I don't know I've definitely thought about this a lot
"
28,SP2,"mhm
"
29,SP1,"I feel like I don't know I don't necessarily want to be famous
"
30,SP2,"Right
"
31,SP1,"I just kind of wanna be like
"
32,SP1,"Successful
"
33,SP2,"Yeah
"
34,SP1,"like or like
"
35,SP1,"Do something out like that I like but like I don't need to be famous I guess
"
36,SP2,"mhm
"
37,SP1,"Yes I wanna be like I don't know yeah I don't know
"
38,SP1,"Not necessarily
"
39,SP2,"Yeah I think when we think of famous people we think of like
"
40,SP1,"credit card
"
41,SP2,"Idols but also there's like other famous people who aren't like media stars you know
"
42,SP1,"Yeah no you're right yeah
"
43,SP2,"Unlike their different worlds I think like
"
44,SP1,"Yeah
"
45,SP2,"It would be cool to be like known
"
46,SP1,"Yeah
"
47,SP2,"Like to do something you love and like
"
48,SP1,"Yeah
"
49,SP2,"Get recognition for it
"
50,SP1,"Yeah yeah yeah
"
51,SP2,"But also like that comes with like higher expectations and link with things like that
"
52,SP1,"mm
"
53,SP1,"Yeah
"
54,SP2,"But also like they'd be fun to be a pop star
"
55,SP1,"No yeah
"
56,SP2,"Maybe
"
57,SP1,"Right
"
58,SP2,"But who knows if that's fun
"
59,SP1,"No like that would honestly be fun
"
60,SP2,"I could be down
"
61,SP1,"Yeah or like like I feel like Broadway will be fun
"
62,SP2,"Yeah it's like less known
"
63,SP1,"Yeah
"
64,SP2,"But also known
"
65,SP1,"Yeah and it's like yeah
"
66,SP2,"You get to like go out in public
"
67,SP1,"I don't know
"
68,SP1,"Yeah but like you're not like being chased by paparazzi probably
"
69,SP2,"Right
"
70,SP1,"you know what I mean
"
71,SP2,"smart
"
72,SP1,"So I guess that we made
"
73,SP2,"Me too
"
74,SP2,"Well
"
75,SP1,"okay
"
76,SP1,"Uhm the first one was
"
77,SP2,"The
"
78,SP1,"the first one was um
"
79,SP1,"Uhm um
"
80,SP2,"The um lunch with a person
"
81,SP1,"yeah
"
82,SP2,"mm
"
83,SP1,"then
"
84,SP1,"Any of them
"
85,SP2,"I guess we can just talk
"
86,SP1,"Okay
"
87,SP2,"What's one of the cool um if you could have a perfect day what would it be
"
88,SP1,"mm
"
89,SP1,"Well ever what do you watch YouTube
"
90,SP2,"Yeah
"
91,SP1,"but what do you watch like morning routines
"
92,SP2,"Yeah
"
93,SP1,"Okay I'm like obsessed with those and like I'm obsessed with like like a day in my like life it like you know maybe like I feel like it would be like that like rush to thank the perfect thank wake up at like you get your like coffee even though and also featured because he Keeps you get your like you know like your breakfast it's all like nice and likeAnd then you just like hello he doesn't do things you like me to do like I guess like a specific type today but like you just like feel productive you feel good
"
94,SP1,"you feel like you did stuff like you feel like you woke up at aGood time in the guts of done it like
"
95,SP2,"Yeah
"
96,SP1,"I don't know I just feel like Mike like a perfect day is like just like you know maybe like feeling like you got the right start to the day like I don't know it's the doing stuff gets a dud seen people have good food
"
97,SP2,"mhm
"
98,SP1,"go to the gym obviously
"
99,SP2,"mhm
"
100,SP1,"I don't know
"
101,SP2,"Can't relate
"
102,SP1,"that would be
"
103,SP2,"Yeah I think I think my perfect day would like look like how that my morning routine would look like like I get out
"
104,SP1,"Right right right
"
105,SP1,"yeah
"
106,SP2,"you know and like
"
107,SP1,"yeah
"
108,SP2,"ah
"
109,SP1,"yeah
"
110,SP2,"And then I like make my coffee in my like oatmeal as they do
"
111,SP1,"Yet no right
"
112,SP2,"And I like to listen to music or like read the paper you know
"
113,SP1,"Yeah
"
114,SP1,"No rate like by the window
"
115,SP2,"something very
"
116,SP2,"Yeah
"
117,SP1,"yeah
"
118,SP2,"I know definitely by the window with like my cat
"
119,SP1,"yeah
"
120,SP1,"yeah
"
121,SP2,"um
"
122,SP2,"And then I'm like I'll go to the gym and then like I go to the gym and I do my like pre workout and then have like a nice
"
123,SP1,"Yeah
"
124,SP1,"Yeah
"
125,SP2,"Snack
"
126,SP1,"Number eight
"
127,SP2,"Then then I probably like to work so I feel productive
"
128,SP1,"mhm
"
129,SP1,"Yeah
"
130,SP2,"But also like listen to music
"
131,SP1,"mhm
"
132,SP2,"and like be happy
"
133,SP1,"Yeah
"
134,SP2,"And then later in the day like meet some friends for dinner
"
135,SP1,"Yes yes
"
136,SP2,"Go out that's my perfect day
"
137,SP1,"Two machine
"
138,SP2,"To m
"
139,SP2,"hum
"
140,SP1,"Yeah
"
141,SP2,"I think that would be my perfect day and then like going home and like sleeping
"
142,SP1,"Yes Miley like happily like not like he responsibilities like roughly like
"
143,SP2,"Yeah
"
144,SP1,"Eggs like anxiously going to bed
"
145,SP2,"Just like doing things
"
146,SP1,"Yeah t exactly
"
147,SP2,"And like the work I do it's not like deadline work
"
148,SP2,"it's like doing work Intrinsically
"
149,SP1,"Yes
"
150,SP1,"yes
"
151,SP1,"yes exactly
"
152,SP2,"psychology
"
153,SP1,"Know exactly like I totally feel that
"
154,SP2,"Yeah
"
155,SP1,"The drug culture the crocodile
"
156,SP2,"What do you also have it
"
157,SP1,"Hey this is so trippy
"
158,SP2,"The weird because I feel like I'm looking in the mirror
"
159,SP1,"But I'm not
"
160,SP2,"but it's but it's not me
"
161,SP1,"but I see Bates and I see my boobs
"
162,SP2,"Wait how
"
163,SP1,"there's like a reflection
"
164,SP2,"I don't see myself
"
165,SP1,"Uhm actually
"
166,SP1,"whoa
"
167,SP2,"Can you see me
"
168,SP1,"Yeah
"
169,SP2,"this is about
"
170,SP1,"when I talk with him
"
171,SP1,"Whatever okay on this question
"
172,SP2,"Next question
"
173,SP1,"Next question
"
174,SP2,"What's the prettiest landscape you could imagine
"
175,SP1,"good question it depends I'm a very
"
176,SP2,"you can give like a few
"
177,SP1,"okay I really appreciate the seasons so I probably have a bunch like I just love a good like fall landscape like then you know the northeast
"
178,SP2,"mhm yeah
"
179,SP1,"Tends to have up north east
"
180,SP2,"yeah
"
181,SP1,"never eat foggy waffle if
"
182,SP1,"Of
"
183,SP2,"Who
"
184,SP1,"from a fault free you from like ball mount to the the the crisp wins likeHim saying and like that is like to me like mm
"
185,SP2,"mhm
"
186,SP1,"but then also like I feel like Costa Rica just like in check
"
187,SP2,"Have you been
"
188,SP1,"Nobody really want to
"
189,SP2,"check out
"
190,SP1,"We should go
"
191,SP2,"I've been
"
192,SP2,"Does veces
"
193,SP1,"dos
"
194,SP2,"I'll tell you about this after you finish your landscapes yeah
"
195,SP1,"Let's go week please yeah but I think definitely like similar Costa Rica just like click the bio type bursae highly
"
196,SP2,"Hello my god
"
197,SP1,"Highly of bell B so sick
"
198,SP2,"Yeah
"
199,SP1,"and then just like I don't know
"
200,SP1,"I also just like in like the summer just like so much green like there's just like just like all of the green
"
201,SP2,"Yeah
"
202,SP1,"Just like the trees and like his thanks so much green everywhere that's like to me is like
"
203,SP2,"That's really interesting because like
"
204,SP1,"Yeah
"
205,SP2,"From LA
"
206,SP1,"Yeah
"
207,SP2,"Seasons art thing
"
208,SP1,"Right
"
209,SP2,"It's like dry and dryer
"
210,SP1,"Right
"
211,SP1,"right
"
212,SP2,"Late we don't get green
"
213,SP1,"right right
"
214,SP1,"Right
"
